bedroom,bathrooms,furnishing,avalable_for,floor_number,facing,floor_type,parking,aggDur,noticeDur,powerbackup,prUnfurnishedertyage,no_room,pooja_room,study_room,servant_room,store_room,deposit_amt,rent,area,loc,fur_cat,loc_cat,gc_ct,p_age
2,2,Semifurnished,Family Only,5,South-West,Vitrified,1,36,1,2,1 to 5 Year Old,0,1,0,0,0,125000,27000.0,1100.0, Hadapsar,1,257,0,1
1,1,Unfurnished,All,6,South,Vitrified,1,11,1,2,0 to 1 Year Old,0,1,0,0,0,3,10000.0,453.0, Manjri BK,2,480,1,0
2,2,Semifurnished,Family Only,2,No Direction,Not provided,0,0,0,0,10+ Year Old,1,0,0,0,0,30000,16000.0,360.0, Manjri BK,1,480,0,2
2,2,Unfurnished,Family Only,2,No Direction,Not provided,1,0,0,0,1 to 5 Year Old,1,0,0,0,0,20000,7000.0,459.0, Lohegaon,2,429,0,1
3,3,Unfurnished,Family Only,2,East,Vitrified,1,22,1,1,1 to 5 Year Old,1,0,0,0,0,100000,30000.0,1150.0, Lohegaon,2,429,1,1
1,1,Unfurnished,Family Only,2,East,Mosaic,0,24,2,0,10+ Year Old,1,0,0,0,0,3,8500.0,500.0, Wanwadi,2,973,1,2
1,1,Semifurnished,All,2,No Direction,Not provided,1,0,0,0,Under Construction,1,0,0,0,0,3,8000.0,575.0, Wanwadi,1,973,0,5
2,2,Furnished,Family Only,3,East,Stone,2,36,2,0,10+ Year Old,1,0,0,0,0,50000,18000.0,900.0, Chinchwad,0,148,0,2
2,2,Unfurnished,All,2,No Direction,Not provided,1,0,0,0,1 to 5 Year Old,1,0,0,0,0,2,10000.0,509.0, Chinchwad,2,148,0,1
3,2,Furnished,All,7,East,Marble,1,11,1,2,5 to 10 Year Old,0,1,0,0,0,100000,40000.0,1400.0, Keshav Nagar,0,367,1,3
2,2,Semifurnished,Family Only,7,North,Marble,1,11,1,1,1 to 5 Year Old,1,0,0,0,0,35000,14500.0,498.0, Keshav Nagar,1,367,1,1
2,2,Unfurnished,Family Only,0,No Direction,Not provided,1,0,0,0,5 to 10 Year Old,1,0,0,0,0,0,15000.0,578.0, Wakad,2,964,0,3
2,2,Unfurnished,Family Only,3,North-East,Ceramic,1,11,1,0,5 to 10 Year Old,1,0,0,0,0,30000,13000.0,775.0, Wakad,2,964,1,3
3,3,Furnished,All,6,East,Vitrified,2,12,1,2,1 to 5 Year Old,1,0,0,0,0,3,35000.0,1450.0, Kharadi,0,378,1,1
2,2,Unfurnished,All,9,East,Vitrified,1,11,1,1,1 to 5 Year Old,1,0,0,0,0,50000,20000.0,888.0, Kharadi,2,378,1,1
1,1,Furnished,All,5,North-East,Vitrified,1,11,1,2,1 to 5 Year Old,1,0,0,0,0,40000,15000.0,1000.0, Laxmi-Narayan Nagar,0,428,1,1
2,2,Unfurnished,"Family , Bachelors (Women Only)",0,East,Not provided,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,50000,18000.0,750.0, Laxmi-Narayan Nagar,2,428,1,1
1,1,Semifurnished,All,2,North,Ceramic,0,0,1,0,10+ Year Old,0,0,1,0,0,25000,12000.0,322.0, Somwar Peth,1,845,0,2
1,1,Semifurnished,Family Only,3,No Direction,Not provided,0,0,0,0,5 to 10 Year Old,1,0,0,0,0,0,8500.0,322.0, Somwar Peth,1,845,0,3
2,2,Semifurnished,Family Only,3,No Direction,Ceramic,1,22,1,1,5 to 10 Year Old,1,0,0,0,0,40000,14000.0,478.0, Ambegaon Budruk,1,21,1,3
3,3,Unfurnished,All,9,East,Vitrified,1,11,1,2,5 to 10 Year Old,0,0,0,0,1,3,27000.0,1350.0, Ambegaon Budruk,2,21,1,3
2,2,Furnished,All,0,South-West,Not provided,3,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,24000.0,322.0, Pune,0,663,0,1
2,2,Unfurnished,Family Only,2,North-East,Ceramic,0,36,3,0,10+ Year Old,1,0,0,0,0,30000,15000.0,322.0, Pune,2,663,0,2
2,2,Unfurnished,All,3,East,Vitrified,1,11,1,2,5 to 10 Year Old,0,0,0,0,1,3,19000.0,1000.0, Lullanagar,2,438,1,3
2,2,Semifurnished,Family Only,3,East,Not provided,1,11,2,0,1 to 5 Year Old,1,0,0,0,0,40000,18000.0,810.0, Lullanagar,1,438,1,1
3,3,Semifurnished,Family Only,4,No Direction,Vitrified,1,11,1,0,5 to 10 Year Old,1,0,0,0,0,0,30000.0,489.0, Hadapsar,1,257,1,3
2,2,Semifurnished,"Family , Bachelors (Women Only)",1,No Direction,Vitrified,1,11,1,0,1 to 5 Year Old,1,0,0,0,0,30000,12000.0,489.0, Hadapsar,1,257,1,1
1,1,Furnished,All,4,East,Ceramic,1,1,1,1,5 to 10 Year Old,0,0,0,0,0,45000,16000.0,500.0, Mhada Colony,0,502,1,3
2,2,Semifurnished,Family Only,1,East,Vitrified,1,36,0,0,5 to 10 Year Old,1,0,0,0,0,50000,17000.0,886.0, Mhada Colony,1,502,1,3
1,1,Furnished,All,2,East,Not provided,1,0,0,0,10+ Year Old,1,0,0,0,0,75000,19000.0,650.0, Shivtirth Nagar,0,819,1,2
3,3,Furnished,Family Only,6,No Direction,Not provided,1,0,0,0,5 to 10 Year Old,1,0,0,0,0,200000,40000.0,585.0, Shivtirth Nagar,0,819,0,3
2,2,Unfurnished,Family Only,3,East,Not provided,1,0,0,0,5 to 10 Year Old,1,0,0,0,0,0,13000.0,343.0, Ambegaon Pathar,2,23,1,3
2,2,Unfurnished,"Family , Bachelors (Women Only)",7,South,Not provided,1,0,0,0,5 to 10 Year Old,1,0,0,0,0,30000,8500.0,853.0, Ambegaon Pathar,2,23,0,3
1,1,Semifurnished,Family Only,6,East,Vitrified,0,0,1,1,1 to 5 Year Old,1,0,0,0,0,0,10000.0,650.0, Bhosari,1,107,1,1
2,2,Furnished,Bachelors (Men/Women),1,West,Polished concrete,0,11,1,2,1 to 5 Year Old,1,0,0,0,0,30000,12000.0,640.0, Bhosari,0,107,1,1
2,2,Unfurnished,All,9,North,Vitrified,1,0,1,1,1 to 5 Year Old,1,0,0,0,0,3,22500.0,910.0, Ashoka Nagar,2,41,1,1
2,2,Furnished,Family Only,6,No Direction,Not provided,1,0,0,0,1 to 5 Year Old,1,0,0,0,0,50000,18000.0,739.0, Ashoka Nagar,0,41,0,1
2,2,Unfurnished,All,1,East,Spartex,1,11,1,0,1 to 5 Year Old,1,0,0,0,0,3,11500.0,950.0, Punawale,2,662,0,1
2,2,Semifurnished,Family Only,6,North,Not provided,0,0,0,2,1 to 5 Year Old,1,0,0,0,0,50000,15500.0,512.0, Punawale,1,662,1,1
2,2,Semifurnished,Family Only,2,No Direction,Not provided,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,40000,18000.0,322.0, Pune,1,663,0,1
1,1,Semifurnished,All,3,North,Marble,1,12,1,1,5 to 10 Year Old,1,0,0,0,0,4,20000.0,322.0, Pune,1,663,1,3
2,2,Unfurnished,All,1,South,Ceramic,2,24,2,0,0 to 1 Year Old,0,0,0,0,1,60000,15000.0,850.0, PIMPLE GURAV,2,590,1,0
2,2,Unfurnished,Family Only,3,South-West,Not provided,1,0,0,0,0 to 1 Year Old,1,0,0,0,0,30000,10000.0,425.0, PIMPLE GURAV,2,590,0,0
3,2,Semifurnished,All,0,South-West,Vitrified,1,11,1,0,10+ Year Old,1,0,0,0,0,50000,20000.0,1200.0, Vadgaon Sheri,1,918,0,2
2,1,Unfurnished,"Family , Bachelors (Women Only)",3,North,Others,0,11,1,0,1 to 5 Year Old,0,1,1,0,0,20000,9000.0,750.0, Vadgaon Sheri,2,918,0,1
3,3,Semifurnished,Family Only,1,North-East,Vitrified,2,11,1,2,1 to 5 Year Old,1,0,0,0,0,3,32000.0,832.0, Kalyani Nagar,1,332,1,1
2,2,Semifurnished,Family Only,2,East,Vitrified,1,11,1,1,5 to 10 Year Old,1,0,0,0,0,75000,18000.0,832.0, Kalyani Nagar,1,332,1,3
2,2,Unfurnished,Family Only,1,No Direction,Not provided,0,11,1,0,0 to 1 Year Old,1,0,0,0,0,30000,11000.0,480.0, Chikhali,2,145,0,0
1,1,Unfurnished,Family Only,4,No Direction,Not provided,1,11,2,0,1 to 5 Year Old,1,0,0,0,0,20000,10500.0,630.0, Chikhali,2,145,0,1
